"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2020-01-01","2020","01","01","","1.6","","-1.0","","0.3","","17.7","","0.0","","","","","","3.0","","19","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-02","2020","01","02","","3.8","","-1.1","","1.3","","16.7","","0.0","","","","","","0.0","","19","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-03","2020","01","03","","5.7","","2.3","","4.0","","14.0","","0.0","","","","","","0.0","","16","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-04","2020","01","04","","2.6","","-2.0","","0.3","","17.7","","0.0","","","","","","1.2","","11","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-05","2020","01","05","","-1.7","","-10.4","","-6.1","","24.1","","0.0","","","","","","0.2","","12","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-06","2020","01","06","","-4.1","","-10.2","","-7.1","","25.1","","0.0","","","","","","2.5","","12","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-07","2020","01","07","","-1.3","","-6.5","","-3.9","","21.9","","0.0","","","","","","","M","15","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-08","2020","01","08","","0.1","","-11.1","","-5.5","","23.5","","0.0","","","","","","2.7","","16","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-09","2020","01","09","","-9.1","","-16.4","","-12.8","","30.8","","0.0","","","","","","0.0","","18","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-10","2020","01","10","","3.2","","-10.1","","-3.4","","21.4","","0.0","","","","","","0.0","","17","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-11","2020","01","11","","7.1","","-3.8","","1.7","","16.3","","0.0","","","","","","43.6","","12","","4","","35",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-12","2020","01","12","","-3.8","","-10.2","","-7.0","","25.0","","0.0","","","","","","13.5","","11","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-13","2020","01","13","","-6.7","","-10.4","","-8.6","","26.6","","0.0","","","","","","0.4","","18","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-14","2020","01","14","","-6.0","","-7.5","","-6.8","","24.8","","0.0","","","","","","1.4","","19","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-15","2020","01","15","","0.5","","-6.9","","-3.2","","21.2","","0.0","","","","","","0.9","","19","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-16","2020","01","16","","-0.3","","-14.0","","-7.2","","25.2","","0.0","","","","","","5.5","","21","","1","","46",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-17","2020","01","17","","-14.0","","-19.8","","-16.9","","34.9","","0.0","","","","","","0.0","","28","","36","","31",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-18","2020","01","18","","-12.9","","-17.1","","-15.0","","33.0","","0.0","","","","","","7.9","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-19","2020","01","19","","-8.8","","-13.0","","-10.9","","28.9","","0.0","","","","","","2.6","","50","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-20","2020","01","20","","-10.9","","-16.3","","-13.6","","31.6","","0.0","","","","","","0.0","","49","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-21","2020","01","21","","-3.1","","-15.4","","-9.3","","27.3","","0.0","","","","","","0.0","","46","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-22","2020","01","22","","1.9","","-4.6","","-1.3","","19.3","","0.0","","","","","","0.0","","43","","20","","37",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-23","2020","01","23","","2.1","","-2.9","","-0.4","","18.4","","0.0","","","","","","0.0","","41","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-24","2020","01","24","","1.0","","-4.1","","-1.5","","19.5","","0.0","","","","","","0.0","","39","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-25","2020","01","25","","0.9","","-4.9","","-2.0","","20.0","","0.0","","","","","","8.4","","38","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-26","2020","01","26","","2.0","","0.4","","1.2","","16.8","","0.0","","","","","","10.4","","42","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-27","2020","01","27","","2.5","","0.4","","1.4","","16.6","","0.0","","","","","","1.3","","39","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-28","2020","01","28","","0.4","","-5.7","","-2.7","","20.7","","0.0","","","","","","0.0","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-29","2020","01","29","","-5.6","","-10.7","","-8.1","","26.1","","0.0","","","","","","0.0","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-30","2020","01","30","","-5.5","","-12.2","","-8.9","","26.9","","0.0","","","","","","0.2","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-01-31","2020","01","31","","-2.9","","-11.2","","-7.0","","25.0","","0.0","","","","","","0.0","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-01","2020","02","01","","-1.3","","-6.3","","-3.8","","21.8","","0.0","","","","","","0.9","","34","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-02","2020","02","02","","-1.4","","-7.3","","-4.3","","22.3","","0.0","","","","","","0.6","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-03","2020","02","03","","3.5","","-3.0","","0.2","","17.8","","0.0","","","","","","0.0","","33","","1","","31",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-04","2020","02","04","","3.4","","-1.8","","0.8","","17.2","","0.0","","","","","","0.0","","36","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-05","2020","02","05","","-1.8","","-9.3","","-5.5","","23.5","","0.0","","","","","","0.0","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-06","2020","02","06","","-5.2","","-8.5","","-6.8","","24.8","","0.0","","","","","","7.5","","35","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-07","2020","02","07","","-4.7","","-12.4","","-8.6","","26.6","","0.0","","","","","","22.8","","55","","3","","46",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-08","2020","02","08","","-12.4","","-17.1","","-14.7","","32.7","","0.0","","","","","","0.0","","78","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-09","2020","02","09","","-6.3","","-17.7","","-12.0","","30.0","","0.0","","","","","","0.0","","76","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-10","2020","02","10","","-0.3","","-8.5","","-4.4","","22.4","","0.0","","","","","","9.9","","85","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-11","2020","02","11","","-0.8","","-7.4","","-4.1","","22.1","","0.0","","","","","","0.0","","84","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-12","2020","02","12","","1.8","","-2.5","","-0.3","","18.3","","0.0","","","","","","0.0","","81","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-13","2020","02","13","","0.5","","-15.5","","-7.5","","25.5","","0.0","","","","","","2.7","","79","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2020-02-14","2020","02","14","","-15.5","","-22.1","","-18.8","","36.8","","0.0","","","","","","0.3","","85","","","","",""
