"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 00:00","2020","10","01","00:00","12.9","","9.1","","78","","22","","5","","","","99.46","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 01:00","2020","10","01","01:00","13.4","","8.5","","72","","20","","7","","","","99.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 02:00","2020","10","01","02:00","12.8","","9.0","","78","","21","","4","","","","99.53","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 03:00","2020","10","01","03:00","12.4","","9.7","","83","","20","","5","","","","99.52","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 04:00","2020","10","01","04:00","12.9","","9.5","","80","","20","","4","","","","99.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 05:00","2020","10","01","05:00","12.8","","9.4","","80","","21","","8","","","","99.62","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 06:00","2020","10","01","06:00","12.7","","9.2","","79","","21","","8","","","","99.68","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 07:00","2020","10","01","07:00","13.0","","8.8","","76","","20","","8","","","","99.73","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 08:00","2020","10","01","08:00","14.2","","9.2","","72","","21","","6","","","","99.81","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 09:00","2020","10","01","09:00","14.7","","9.8","","72","","25","","10","","","","99.86","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 10:00","2020","10","01","10:00","14.8","","10.3","","75","","21","","8","","","","99.92","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 11:00","2020","10","01","11:00","14.5","","10.1","","75","","20","","6","","","","99.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 12:00","2020","10","01","12:00","17.7","","10.4","","62","","21","","6","","","","99.97","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 13:00","2020","10","01","13:00","17.7","","9.0","","57","","22","","10","","","","99.99","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 14:00","2020","10","01","14:00","17.3","","9.1","","59","","21","","9","","","","100.00","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 15:00","2020","10","01","15:00","17.5","","8.6","","56","","24","","9","","","","100.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 16:00","2020","10","01","16:00","16.5","","9.5","","63","","26","","5","","","","100.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 17:00","2020","10","01","17:00","15.2","","8.8","","65","","24","","4","","","","100.16","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 18:00","2020","10","01","18:00","14.9","","9.7","","71","","22","","4","","","","100.22","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 19:00","2020","10","01","19:00","12.9","","8.6","","75","","30","","3","","","","100.34","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 20:00","2020","10","01","20:00","12.7","","9.4","","80","","23","","1","","","","100.37","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 21:00","2020","10","01","21:00","12.8","","9.0","","78","","23","","5","","","","100.43","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 22:00","2020","10","01","22:00","12.5","","9.2","","80","","24","","3","","","","100.41","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-01 23:00","2020","10","01","23:00","12.8","","8.4","","75","","29","","4","","","","100.41","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 00:00","2020","10","02","00:00","11.4","","8.7","","84","","24","","2","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 01:00","2020","10","02","01:00","10.9","","8.6","","86","","22","","2","","","","100.46","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 02:00","2020","10","02","02:00","11.1","","8.4","","83","","27","","2","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 03:00","2020","10","02","03:00","10.9","","8.5","","85","","25","","3","","","","100.42","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 04:00","2020","10","02","04:00","10.1","","8.9","","93","","24","","1","","","","100.48","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 05:00","2020","10","02","05:00","10.5","","9.0","","91","","23","","3","","","","100.47","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 06:00","2020","10","02","06:00","9.9","","8.7","","92","","28","","1","","","","100.44","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 07:00","2020","10","02","07:00","11.0","","8.9","","87","","4","","1","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 08:00","2020","10","02","08:00","11.5","","9.3","","86","","32","","4","","","","100.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 09:00","2020","10","02","09:00","11.6","","9.3","","85","","20","","3","","","","100.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 10:00","2020","10","02","10:00","11.1","","9.9","","92","","22","","4","","","","100.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 11:00","2020","10","02","11:00","11.3","","9.2","","87","","20","","3","","","","100.52","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 12:00","2020","10","02","12:00","11.6","","9.5","","87","","26","","2","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 13:00","2020","10","02","13:00","11.8","","9.5","","86","","21","","3","","","","100.45","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 14:00","2020","10","02","14:00","12.1","","9.2","","83","","20","","3","","","","100.46","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 15:00","2020","10","02","15:00","12.7","","9.9","","83","","27","","2","","","","100.43","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 16:00","2020","10","02","16:00","12.4","","9.2","","81","","1","","6","","","","100.44","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 17:00","2020","10","02","17:00","12.2","","9.8","","85","","35","","4","","","","100.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 18:00","2020","10","02","18:00","11.1","","9.9","","92","","33","","5","","","","100.58","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 19:00","2020","10","02","19:00","11.0","","9.8","","92","","33","","6","","","","100.64","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 20:00","2020","10","02","20:00","10.7","","9.5","","92","","36","","7","","","","100.69","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 21:00","2020","10","02","21:00","10.7","","9.5","","92","","2","","9","","","","100.73","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 22:00","2020","10","02","22:00","10.4","","8.1","","86","","1","","11","","","","100.80","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-02 23:00","2020","10","02","23:00","10.0","","7.6","","85","","1","","8","","","","100.85","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 00:00","2020","10","03","00:00","9.7","","7.4","","86","","2","","8","","","","100.90","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 01:00","2020","10","03","01:00","9.5","","7.3","","86","","1","","5","","","","100.94","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 02:00","2020","10","03","02:00","8.4","","6.8","","90","","33","","3","","","","100.92","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 03:00","2020","10","03","03:00","8.7","","6.0","","83","","32","","5","","","","100.96","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 04:00","2020","10","03","04:00","8.1","","6.4","","89","","31","","5","","","","101.02","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 05:00","2020","10","03","05:00","8.1","","7.1","","93","","31","","7","","","","101.09","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 06:00","2020","10","03","06:00","8.1","","6.3","","88","","32","","8","","","","101.15","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 07:00","2020","10","03","07:00","8.1","","6.3","","88","","1","","8","","","","101.20","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 08:00","2020","10","03","08:00","8.5","","5.7","","82","","2","","6","","","","101.24","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 09:00","2020","10","03","09:00","9.8","","4.9","","71","","1","","5","","","","101.31","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 10:00","2020","10","03","10:00","10.1","","4.7","","69","","31","","3","","","","101.36","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 11:00","2020","10","03","11:00","11.3","","3.3","","58","","2","","7","","","","101.34","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 12:00","2020","10","03","12:00","12.6","","2.8","","51","","35","","5","","","","101.33","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 13:00","2020","10","03","13:00","12.2","","1.9","","49","","33","","3","","","","101.30","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 14:00","2020","10","03","14:00","12.2","","0.7","","45","","31","","5","","","","101.29","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 15:00","2020","10","03","15:00","12.2","","2.0","","49","","26","","2","","","","101.31","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 16:00","2020","10","03","16:00","11.5","","2.4","","53","","32","","3","","","","101.33","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 17:00","2020","10","03","17:00","11.3","","2.4","","54","","30","","3","","","","101.35","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 18:00","2020","10","03","18:00","10.9","","2.6","","57","","29","","2","","","","101.41","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 19:00","2020","10","03","19:00","10.1","","3.9","","65","","29","","2","","","","101.43","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 20:00","2020","10","03","20:00","10.0","","4.8","","70","","24","","2","","","","101.49","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 21:00","2020","10","03","21:00","9.6","","6.0","","78","","29","","2","","","","101.51","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 22:00","2020","10","03","22:00","9.6","","5.2","","74","","30","","2","","","","101.54","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-03 23:00","2020","10","03","23:00","9.0","","4.8","","75","","4","","1","","","","101.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 00:00","2020","10","04","00:00","8.2","","4.7","","78","","32","","4","","","","101.56","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 01:00","2020","10","04","01:00","7.2","","5.5","","89","","25","","2","","","","101.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 02:00","2020","10","04","02:00","7.6","","5.2","","85","","30","","5","","","","101.57","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 03:00","2020","10","04","03:00","7.1","","5.4","","89","","26","","2","","","","101.55","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 04:00","2020","10","04","04:00","7.3","","5.5","","88","","28","","2","","","","101.58","","","","","","NA"
"-73.58","45.50","MCTAVISH","7024745","2020-10-04 05:00","2020","10","04","05:00","7.7","","6.0","","89","","26","","2","","","","101.60","","","","","","NA"
